Culture,Focal_Year,PBM_Data,Source,Source_Coverage_Years,Sub_Group,Full_Pinpoint information,Page_Nums,HRAF_Sources,SCCS_Sources,DPlace_Sources,Source_URL,My_Comments,
Aleut,,0,"Bank, Ted. 1953. Health and Medical Lore of the Aleuts. Papers of the Michigan Academy of Science, Arts, and Letters 38: 415-431.",1948-1951 (field dates); 1948-1951 (total coverage),"Atka Island in the Andreanof subgroup of Aleutian Islands and Umnak and Unalaska Islands in the Fox subgroup of Aleutian Islands, Alaska, U.S.A.",,17,processed_nocode,3,0,https://ehrafworldcultures.yale.edu/document?id=na06-067,,
Aleut,,1,"Bank, Ted. 1971. People of the Bering Sea. New York.",1948-1951 (field dates),"Atka Island in the Andreanof subgroup of Aleutian Islands and Umnak and Unalaska Islands in the Fox subgroup of Aleutian Islands, Alaska, U.S.A.",,98,0,3,0,https://drive.google.com/file/d/1JZxSWapDvk0JY7HfxQggdsLt5ppiP2vL/view?usp=share_link,,
Aleut,,1,"Cook, James. 1785. A Voyage to the Pacific Ocean. London.",1778 (field date); 1778 (total coverage),"Unalaska Island of Fox subgroup of Aleutian Islands, Alaska, U.S.A.",,17,processed_nocode,2,0,https://ehrafworldcultures.yale.edu/document?id=na06-008,,
Aleut,,1,"Coxe, William. 1804. Account of Russian Discoveries between Asia and America. London.",1711-1792 (field dates); 1745-1768 (full coverage),"All Aleutian Islands, Alaska, United States",,154,processed_nocode,3,0,https://ehrafworldcultures.yale.edu/document?id=na06-004,,
Aleut,,0,"Elliott, H. W. 1886. Our Arctic Province. New York.",1872-1874 (field dates); 1872-1874 (total coverage),"All Aleutian and Pribilof Islands, Alaska, United States",,255,processed_nocode,3,0,https://ehrafworldcultures.yale.edu/document?id=na06-003,,
Aleut,,1,"Golder, Frank A. 1925. Bering’s Voyages. Vol 2. New York.",1767 (field date),Unalaska Aleut of Shumagin Islands,,332,0,2,0,https://archive.org/details/beringsvoyagesac02gold,,
Aleut,,1,"Graburn, Nelson H. H., and B. Stephen Strong. 1973. The Aleuts: Subarctic Islanders. In their Circumpolar Peoples. pp. 126-136. Pacific Palisades.",,"All Aleutian Islands, Alaska, United States",,10,0,4,0,https://archive.org/details/circumpolarpeopl0000grab,,
Aleut,,0,"Hett, J. M., and R. O’Neill. 1974. Systems Analysis of the Aleut Ecosystem. Arctic Anthropology 11: 31-40.",,"All Aleutian Islands, Alaska, United States",,9,0,4,0,https://www.jstor.org/stable/40315832,,
Aleut,,0,"Innokentii, Saint, Metropolitan of Moscow and Kolomna. 1840a. Notes on the Athin Aleuts and the Koloshi. Russian-American Company. Translated by B. Keen and Assya Kardinelowska.",1823-1834 (field dates); 1823-1834 (total coverage),"Athin Aleuts of Atka Island, Western Aleutian Islands, as well as discussions on the Tlingit culture, Alaska, United States",,26,S1,1,1,https://ehrafworldcultures.yale.edu/document?id=na06-065,,
Aleut,,1,"Innokentii, Saint, Metropolitan of Moscow and Kolomna. 1840b. Notes on the Islands of the Unalaska District. Russian-American Company. Translated by B. Keen and Assya Kardinelowska.",1823-1834 (field dates),"Unalaska Island of Fox subgroup of Aleutian Islands, Alaska, U.S.A.",,409,S1,1,1,https://ehrafworldcultures.yale.edu/document?id=na06-001,,
Aleut,,1,"Jochelson, Waldemar. 1925. Archaeological Investigations in the Aleutian Islands. Washington, D.C.",1909-1910 (field dates),"Aleutian islands of Unalaska, Attu, Atka, and Umnak, Alaska, U.S.A.",,154,processed_nocode,3,0,https://ehrafworldcultures.yale.edu/document?id=na06-010,,
Aleut,,0,"Jochelson, Waldemar. 1928. People of the foggy sea. In Natural history: Vol. 28 (pp. 413–424). American Museum of Natural History.",1909-1910 (field dates); 1909-1910 (total coverage),"Aleutian islands of Unalaska, Attu, Atka, and Umnak, Alaska, U.S.A.",,11,processed_nocode,0,0,https://archive.org/details/naturalhistory2816newy,"Same author, same group, same time period",
Aleut,,1,"Jochelson, Waldemar. 1933. History, ethnology, and anthropology of the Aleut. In Publication (Issue no. 432, pp. v, 91). Carnegie institution of Washington.",1909-1910 (field dates); 1764-1910 (total coverage),"All Aleutian Islands, Alaska, United States",,91,S2,0,0,https://ehrafworldcultures.yale.edu/document?id=na06-002,,
Aleut,,0,"Jones, Dorothy M. 1969. A Study of Social and Economic Problems in Unalaska, an Aleut Village. Ph.D. Dissertation, University of California, Berkeley.",1967-1968 (field dates); 1960-1968 (total coverage),"Unalaska Island of Fox subgroup of Aleutian Islands, Alaska, U.S.A.",,248,processed_nocode,3,0,https://ehrafworldcultures.yale.edu/document?id=na06-070,,
Aleut,,1,"Jones, Dorothy M. 1976. Aleuts in transition: a comparison of two villages. Published for the Institute of Social, Economic and Government Research, University of Alaska, University of Washington Press.",1967-1972 (field dates); 1945-1970 (total coverage),"New Harbor' and 'Iliaka,' Aleutian Islands, Alaska, United States",,132,processed_nocode,0,0,https://ehrafworldcultures.yale.edu/document?id=na06-073,"Same author, same group, same time period",
Aleut,,1,"Langsdorff, Georg H. von. 1817. Voyages and Travels. London.",1805 (field date); 1805 (total coverage),"Unalaska Island of Fox subgroup of Aleutian Islands, Alaska, U.S.A.",,175,processed_nocode,2,0,https://ehrafworldcultures.yale.edu/document?id=na06-009,,
Aleut,,1,"Lantis, Margaret. 1970. The Aleut Social System, 1750 to 1810, from Early Historical Sources. In M. Lantis (ed.), Ethnohistory in Southwestern Alaska and the Southern Yukon: Method and Content, 139-302. Lexington: University Press of Kentucky.",1933-1934 (field dates); 1750-1810 (total coverage),"All Aleutian Islands, Alaska, United States",,163,processed_nocode,1a,1,https://ehrafworldcultures.yale.edu/document?id=na06-074,,
Aleut,,1,"Lantis, Margaret. 1984. Aleut. In Handbook of North American Indians: Arctic. Vol. 5 (pp. 161–184). Smithsonian Institution: For sale by the Supt. of Docs., U.S. G.P.O.",1933-1934 (field dates); 1750-1975 (total coverage),"All Aleutian Islands, Alaska, United States",,23,processed_nocode,0,0,https://ehrafworldcultures.yale.edu/document?id=na06-075,"Same author, same group, same time period",
Aleut,,1,"Sarychev, Gavriil A. 1806. Account of a Voyage of Discovery to the Northeast of Siberia, vol. 2. London.",1790-1791 (field dates),"Unalaska Island of Fox subgroup of Aleutian Islands, Alaska, U.S.A.",,79,processed_nocode,2,0,https://ehrafworldcultures.yale.edu/document?id=na06-007,,
Aleut,,1,"Sauer, Martin. 1802. An Account of a Geographical and Astronomical Expedition to the Northern Parts of Russia. London.",1790-1792 (field dates); 1790-1792 (total coverage),"Primarily Unalaska Island of Fox Subgroup, but also Andreanof Islands subgroup, Aleutian Islands, Alaska, United States",,120,processed_nocode,2,0,https://ehrafworldcultures.yale.edu/document?id=na06-016,,
Aleut,,0,"Turner, Christy. C. 1976. The Aleuts of Akun Islands. Alaska Journal 6: 25-31.",1973 (field date) ~3800 BP-1908 CE,"Akun Islands in the Fox Island Subgroup of the Aleutians Islands, Alaska, U.S.A.",,6,0,3,0,https://drive.google.com/file/d/1pOAOn5ANOcAdyS23w-xyQu4tf0l8RV_7/view?usp=share_link,,
Alorese,1938,,,,"Atimelang Village, Alor Island, Nusa Tenggara Timur Province, Lesser Sunda Islands, Indonesia","The inland five-village complex of Atimelang, in the north center of Alor Island, 124°40'E and 8°20'S, in 1938. […] The five villages of the complex studied by DuBois include Atimelang and its two hamlets, numbering 180 people, Lawatika village (100), Dikimpke and one hamlet numbering 114 people, Alurkovati (95), and Karieta (56), with about 50 people scattered in homesteads for a total population of the valley floor of 600. […] Selection of Focus: Four of the five villages (excluding Lawatika) formed the focus of DuBois' study. […] Time: 1938 marks the beginning of DuBois' one-year field study. (White 2009, p. 113)",727,,,,,,
Alorese,,0,"Du Bois, Cora. 1940. How They Pay Debts in Alor. Asia 40. 482-486.",1938-1939 (field dates); 1938-1939 (total coverage),"Atimelang village, Alor Island, Nusa Tenggara Timur Province, Lesser Sunda Islands, Indonesia",,4,S1,1,1,https://ehrafworldcultures.yale.edu/document?id=of05-003,,
Alorese,,0,"Du Bois, Cora. 1941. Attitudes Toward Food and Hunger in Alor. In L. Spier et al. (ed.), Language, Culture, and Personality, 272-281.",1938-1939 (field dates); 1938-1939 (total coverage),"Atimelang village, Alor Island, Nusa Tenggara Timur Province, Lesser Sunda Islands, Indonesia",,9,S1,1,1,https://ehrafworldcultures.yale.edu/document?id=of05-002,,
Alorese,,1,"Du Bois, Cora. 1944. The People of Alor. Minneapolis: University of Minnesota Press.",1938-1939 (field dates); 1938-1939 (total coverage),"Atimelang village, Alor Island, Nusa Tenggara Timur Province, Lesser Sunda Islands, Indonesia",,670,S1,1,1,https://ehrafworldcultures.yale.edu/document?id=of05-001,,
Alorese,,0,"Du Bois, Cora. 1945. The Alorese. In A. Kardiner (ed.), The Psychological Frontiers of Society, 101-145.",1938-1939 (1961 field date),"Atimelang village, Alor Island, Nusa Tenggara Timur Province, Lesser Sunda Islands, Indonesia",,44,0,1,1,https://archive.org/details/in.ernet.dli.2015.187322,,
Amahuaca,1960,,,,"At the headwaters of the Upper Inuya River/Río Inuya, Peru","The Amahuaca on the upper Inuya River (10 10' to 10 30'S, 72 to 72 30'W), in 1960. […] The Amahuaca, who speak a Panoan language, are located on the upper reaches of the Inuya, Lepahua, Purus, and Yurua rivers in eastern Peru, extending eastward slightly into Brazil. The Indians of this region were largely by-passed by early explorers and missionaries, and our first fragmentary information on them dates from the second half of the 19th century. Even in 1960, when Carneiro and Dole began their field work among them, the group they studied on the Inuya River was still almost completely unacculturated. […] Selection of Focus: The less acculturated of the two communities studied by Carneiro and Dole. […] Time: The date of 1960 is selected as that of the beginning of the field work by Carneiro and Dole. (White 2009, p. 205)",1640,,,,,,
Amahuaca,,1,"Carneiro, Robert L. 1962. The Amahuaca Indians. Explorers Journal 40. iv, 28-37.",1960-1961 (field dates); 1960-1961 (total coverage),"Varadero, a Spanish term inclining “crossing” or “portage,” is the name given by Peruvians to an Amahuaca settlement at the headwaters of the Inuya river near the height of land between the Inuya and the Juruá-Purús drainage in Southeastern Peru. In 1960-1961 the community of Amahuaca there comprised seven loosely aggregated household groups that had been gradually attracted to the site by Robert and Dolores Russell, missionaries affiliated with the Summer Institute of Linguistics.",,9,S2,1,1,https://ehrafworldcultures.yale.edu/document?id=se06-001,,
Amahuaca,,0,"Carneiro, Robert L. 1964. Shifting Cultivation Among the Amahuaca. Niedersächsisches Landesmuseum, Völkerkundliche Abhandlungen 1. 9-18.",1960-1961 (field dates); 1960-1961 (total coverage),"Varadero, a Spanish term inclining “crossing” or “portage,” is the name given by Peruvians to an Amahuaca settlement at the headwaters of the Inuya river near the height of land between the Inuya and the Juruá-Purús drainage in Southeastern Peru. In 1960-1961 the community of Amahuaca there comprised seven loosely aggregated household groups that had been gradually attracted to the site by Robert and Dolores Russell, missionaries affiliated with the Summer Institute of Linguistics.",,9,S1,1,1,https://etnolinguistica.wdfiles.com/local--files/biblio%3Acarneiro-1964-shifting/Carneiro_1964_ShiftingCultivationAmahuacaEasternPeru.pdf,,
Amahuaca,,0,"Carneiro, Robert L. 1964. The Amahuaca and the Spirit World. Ethnology 3. 6-11.",1960-1961 (field dates); 1960-1961 (total coverage),"Varadero, a Spanish term inclining “crossing” or “portage,” is the name given by Peruvians to an Amahuaca settlement at the headwaters of the Inuya river near the height of land between the Inuya and the Juruá-Purús drainage in Southeastern Peru. In 1960-1961 the community of Amahuaca there comprised seven loosely aggregated household groups that had been gradually attracted to the site by Robert and Dolores Russell, missionaries affiliated with the Summer Institute of Linguistics.",,5,S1,1,1,https://ehrafworldcultures.yale.edu/document?id=se06-003,,
Amahuaca,,1,"Carneiro, Robert L. 1968. Hunting and Hunting Magic Among the Amahuaca. Ethnology 9(4):331-341.",1960-1961 (field dates); 1960-1961 (total coverage),"Varadero, a Spanish term inclining “crossing” or “portage,” is the name given by Peruvians to an Amahuaca settlement at the headwaters of the Inuya river near the height of land between the Inuya and the Juruá-Purús drainage in Southeastern Peru. In 1960-1961 the community of Amahuaca there comprised seven loosely aggregated household groups that had been gradually attracted to the site by Robert and Dolores Russell, missionaries affiliated with the Summer Institute of Linguistics.",,10,S1,1,1,https://ehrafworldcultures.yale.edu/document?id=se06-004,,
Amahuaca,,0,"Carneiro, Robert L. 1974. On the Use of the Stone Axe by the Amahuaca Indians of Eastern Peru. Ethnologische Zeitschrift Zurich, 1 (pp.107-122). Bern: Verlag Herbert Lang.",1960-1961 (field dates); 1960-1961 (total coverage),"Varadero, a Spanish term inclining “crossing” or “portage,” is the name given by Peruvians to an Amahuaca settlement at the headwaters of the Inuya river near the height of land between the Inuya and the Juruá-Purús drainage in Southeastern Peru. In 1960-1961 the community of Amahuaca there comprised seven loosely aggregated household groups that had been gradually attracted to the site by Robert and Dolores Russell, missionaries affiliated with the Summer Institute of Linguistics.",,15,0,1,0,https://drive.google.com/file/d/1aYnLOGj09fFDoyEmlaW5wV5l2jWn9H02/view?usp=share_link,,
Amahuaca,,0,"Carniero, Robert L. 1964. Logging and the Patrón System among the Amahuaca of Eastern Peru. XXXV Congreso Internacional de Americanistas (p.323-327). Actas y Memorias. Mexico City.",1960-1961 (field dates); 1960-1961 (total coverage),"Varadero, a Spanish term inclining “crossing” or “portage,” is the name given by Peruvians to an Amahuaca settlement at the headwaters of the Inuya river near the height of land between the Inuya and the Juruá-Purús drainage in Southeastern Peru. In 1960-1961 the community of Amahuaca there comprised seven loosely aggregated household groups that had been gradually attracted to the site by Robert and Dolores Russell, missionaries affiliated with the Summer Institute of Linguistics.",,4,0,1,0,http://revistas.unam.mx/index.php/antropologia/article/download/17098/16284,,
Amahuaca,,--,"Dole, Gertrude E. 1961. The Influence of Population Density on the Development of Social Organization Among the Amahuaca of East Peru. Paper presented at American Anthropological Association meeting, Philadelphia.",1960-1961 (field dates); 1960-1961 (total coverage),"Varadero, a Spanish term inclining “crossing” or “portage,” is the name given by Peruvians to an Amahuaca settlement at the headwaters of the Inuya river near the height of land between the Inuya and the Juruá-Purús drainage in Southeastern Peru. In 1960-1961 the community of Amahuaca there comprised seven loosely aggregated household groups that had been gradually attracted to the site by Robert and Dolores Russell, missionaries affiliated with the Summer Institute of Linguistics.",,nd,0,1,1,Unavailable from ILL,,
Amahuaca,,0,"Dole, Gertrude E. 1962. Endocannibalism Among the Amahuaca Indians. Transactions of the New York Academy of Sciences, ser. 2 24. 567-573.",1960-1961 (field dates); 1960-1961 (total coverage),"Varadero, a Spanish term inclining “crossing” or “portage,” is the name given by Peruvians to an Amahuaca settlement at the headwaters of the Inuya river near the height of land between the Inuya and the Juruá-Purús drainage in Southeastern Peru. In 1960-1961 the community of Amahuaca there comprised seven loosely aggregated household groups that had been gradually attracted to the site by Robert and Dolores Russell, missionaries affiliated with the Summer Institute of Linguistics.",,6,S2,1,1,https://ehrafworldcultures.yale.edu/document?id=se06-006,,
Amahuaca,,1,"Dole, Gertrude E. 1974. The marriages of Pacho: a woman’s life among the Amahuaca. Many Sisters: Women in Cross-Cultural Perspective, 3–35.",1960-1961 (field dates); 1960-1961 (total coverage),"Varadero, a Spanish term inclining “crossing” or “portage,” is the name given by Peruvians to an Amahuaca settlement at the headwaters of the Inuya river near the height of land between the Inuya and the Juruá-Purús drainage in Southeastern Peru. In 1960-1961 the community of Amahuaca there comprised seven loosely aggregated household groups that had been gradually attracted to the site by Robert and Dolores Russell, missionaries affiliated with the Summer Institute of Linguistics.",,32,S2,0,0,https://ehrafworldcultures.yale.edu/document?id=se06-005,,
Amahuaca,,0,"Dole, Gertrude E. 1979. Pattern and variation in Amahuaca kin terminology. Working Papers on South American Indians, no. 1, 13–36.",1960-1961 (field dates); 1960-1961 (total coverage),"Varadero, a Spanish term inclining “crossing” or “portage,” is the name given by Peruvians to an Amahuaca settlement at the headwaters of the Inuya river near the height of land between the Inuya and the Juruá-Purús drainage in Southeastern Peru. In 1960-1961 the community of Amahuaca there comprised seven loosely aggregated household groups that had been gradually attracted to the site by Robert and Dolores Russell, missionaries affiliated with the Summer Institute of Linguistics.",,23,S2,0,0,https://ehrafworldcultures.yale.edu/document?id=se06-007,,
Amahuaca,,1,"Huxley, Matthew and Cornell Capa. 1964. Farewell to Eden.",1953-1961 (1961 field date),"Varadero, a Spanish term inclining “crossing” or “portage,” is the name given by Peruvians to an Amahuaca settlement at the headwaters of the Inuya river near the height of land between the Inuya and the Juruá-Purús drainage in Southeastern Peru. In 1960-1961 the community of Amahuaca there comprised seven loosely aggregated household groups that had been gradually attracted to the site by Robert and Dolores Russell, missionaries affiliated with the Summer Institute of Linguistics.",,241,0,2,1,https://drive.google.com/file/d/1z3YXCMngygG7CK5DX2Dg2hi3b7cH_KPR/view?usp=drive_link,,
Amahuaca,,0,"Tessmann, Günter. 1930. Die Indianer Nordost-Perus. Hamburg: Hamburg. Translated for the HRAF files by Alois M. Nagler",1923-1926 (field dates); 1860-1920 (total coverage,Jivaros of northeastern Peru,,867,processed_nocode,3,1,https://ehrafworldcultures.yale.edu/document?id=sd09-028,"This source is a summary of the Jivaro culture, rather than the Amahuaca culture.",
Amahuaca,,0,"Woodside, John H. 1980. Developmental Sequences in Amahuaca Society. Ph.D. Dissertation, University of Minnesota.",1973-1974 (field dates); 1973-1977 (total coverage),"Village of Otracasa (pseudonym) and environs, Department of Loreto, Peru",,419,S2,2,0,https://ehrafworldcultures.yale.edu/document?id=se06-008,,
Amhara (Begemidir Province),1953,,,,"Gondar District in the North Gondar Zone (formerly Begemder/Begemdir province) of the Amhara Region, Ethiopia","The Amhara of the Gondar District surrounding Lake Tana, located at about 11° to 14°N and 36° to 38°30'E, in 1953. […] The Amhara fall into three main divisions: (1) those of the Gondar District in the north, (2) those of the Gojjam District in the center, and (3) those of the Shoa District in the south. […] The Gondar District is selected as the site of Messing's field work, but data from Gojjam and Shoa can be used with due caution. […] The date of 1953 is selected as that of Messing's field work. (White 2009, p. 47)",3737,,,,,,
Amhara (Begemidir Province),,0,"Hoben, Allan. 1970. Social Stratification in Traditional Amhara Society. In: A. Tuden & L. Plotinov (eds). Social Stratification in Africa (pg. 187-224). New York: The Free Press.","1961-1962, 1966 (field dates); 1930-1970 (total coverage)","Dega Damot in the East Gondar zone (formerly the eastern Gojjam province), Amhara Region, Ethiopia",,37,0,3,1,https://archive.org/details/socialstratifica0000unse_s4p9,,
Amhara (Begemidir Province),,0,"Hoben, Allan. 1973. Land Tenure among the Amhara of Ethiopia. University of Chicago Press.","1961-1962, 1966 (field dates); 1930-1970 (total coverage)","Dega Damot in the East Gondar zone (formerly the eastern Gojjam province), Amhara Region, Ethiopia",,287,processed_nocode,3,1,https://ehrafworldcultures.yale.edu/document?id=mp05-013,,
Amhara (Begemidir Province),,0,"Levine, Donald N. 1965. Wax & gold: tradition and innovation in Ethiopian culture. University of Chicago Press.",1958-1961 (field dates); 1270-1961 (total coverage),"Primary focus around Mënz District, Shoa/Shewa Zone, Amahara Region and Gondar District, North Gondar Zone, Amhara Region, Ethioppia",,330,processed_nocode,3,1,https://ehrafworldcultures.yale.edu/document?id=mp05-011,,
Amhara (Begemidir Province),,1,"Lipsky, George A. 1962. Ethiopia.",1942-1961 (total coverage),All of Ethiopia,,402,0,4,1,https://archive.org/details/ethiopiaitspeopl0000lips,,
Amhara (Begemidir Province),,1,"Messing, Simon D. 1957. The Highland-Plateau Amhara of Ethiopia. Ph.D. Dissertation, University of Pennsylvania.",1953-1954 (field dates),"Gondar District in the North Gondar Zone (formerly Begemder/Begemdir province) of the Amhara Region, Ethiopia",,1493,0,1,0,https://drive.google.com/file/d/1tvDoigjsl_deSwuGfqbkhmdf-KjvhXTt/view?usp=drive_link,,
Amhara (Begemidir Province),,1,"Messing, Simon D, and Marvin L. Bender. 1985. Highland plateau Amhara of Ethiopia. In Ethnography series (p. 3 v. (xvii, 502 leaves)).","1953-1954, 1961 (field dates); 1950s (total coverage)","Gondar District in the North Gondar Zone (formerly Begemder/Begemdir province) of the Amhara Region, Ethiopia",,502,S1,0,0,https://ehrafworldcultures.yale.edu/document?id=mp05-020,,
Amhara (Begemidir Province),,1,"Shack, William A. 1974. The Central Ethiopians: Amhara, Tigrina and Related Peoples. London: Routledge.",1945-1973 (total coverage),"All Amhara, across the former provinces of Amhara, but also Begemdir, Shoa and Gojjam (Godjam), and the district of Lasta in Wollo (Wallo) province, Ethiopia",,35,0,3,1,https://www.taylorfrancis.com/books/mono/10.4324/9781315307718/central-ethiopians-amhara-tigri%C5%88a-related-peoples-william-shack,Amhara discussed pgs 15-50,
Amhara (Begemidir Province),,1,"Weissleder, Wolfgang. 1965. The Political Ecology of Amhara Domination. Ph.D. Dissertation, University of Chicago.",Early 1960s (field dates); 1703- 1960s (total coverage),"Angkober community, North Shewa/Shoa Zone of the Amhara Region, Ethiopia",,365,0,3,0,https://drive.google.com/file/d/1tSDpXGE4GfzsWSjveb8KYgDQPpWoevq9/view?usp=drive_link,,
Amhara (Begemidir Province),,1,"Young, Allan L. 1967. Varieties of Amhara graphic art. Expedition, Vol. 9(no. 4), 2–11.",1966 (field date); 1960-1970 (total coverage),"Gondar District in the North Gondar Zone (formerly Begemder/Begemdir province) of the Amhara Region, Ethiopia",,9,processed_nocode,0,0,https://ehrafworldcultures.yale.edu/document?id=mp05-018,"Same author, same group, same time period",
Amhara (Begemidir Province),,1,"Young, Allan L. 1970. Medical Beliefs and Practices of Begemder Amhara. Doctoral Dissertation, University of Pennsylvania.",1966 (field date); 1960-1970 (total coverage),"Gondar District in the North Gondar Zone (formerly Begemder/Begemdir province) of the Amhara Region, Ethiopia",,277,processed_nocode,4,0,https://ehrafworldcultures.yale.edu/document?id=mp05-012,,
Ancient Khmer,1292,,,,"City of Angkor, modern province of Siem Reap, Cambodia","The city of Angkor, capital of the Khmer Kingdom, 13°30'N and 103°50'E, in 1292. […] Selection of Focus: The capital of Angkor, described by the Chou Ta- Kuan in 1292, provides the earliest picture of Khmer society. Supplementary data on the Khmer empire and ancient customs may be taken from historical or archeological sources. Contemporary descriptions of Khmer life should be used to fill gaps, such as kinship terminology or aspects of ritual, for example, only with extreme caution. Many of the customs of the peasantry appear to have had continuity over this seven century span, but Angkor, as a distinctive urban focus, shows numerous differences. […] Time: 1292 is the time of Chou Ta-Kuan's visit to Angkor. The civilization had expanded to a peak the century before, and this was the golden age of trade and luxury when scholasticism, religion, and the arts where of great importance. (White 2009, p. 95-96)",2803,,,,,,
Ancient Khmer,,1,"Audric, John. 1972. Angkor and the Khmer empire. Ann Arbor: University of Michigan Press.",802-1500 (total coverage),"Angkor in modern Siem Reap province, and general Cambodia",,224,0,4,1,https://drive.google.com/file/d/1Z5g_NRBbRw5-9EelgReQtUU-0OK_zgZg/view?usp=drive_link,"1200s primarily discussed in second half of chapter 4 (God-Kings of Ankhor), chapter 5, chapter 6, and beginning of chapter 7. 1200s also discussed throughout the book in connection with reigns of Jayavarman VII (1181-1218), Indravarman II (1218-1243), Jayavarman VIII (1243-1295), and Indravarman III (1295-1308).",
Ancient Khmer,,1,"Aymonier, Etinne. 1900-1904. Le Cambodge. 3 vols. Paris. Translated from the French for Human Relations Area Files by Margaret Thompson.",1879 (field date); 1601-1900 (total coverage),All of Cambodia,,125,processed_nocode,3,0,https://ehrafworldcultures.yale.edu/document?id=am04-147,,
Ancient Khmer,,0,"Briggs, Lawrence P. 1951. The Kambuja, or Angkor, period (pp. 88-244). In: The Ancient Khmer Empire. Transactions of the American Philosophical Society 41(1): 1-295.",802-1295 (total coverage),"Angkor in modern Siem Reap province, and general Cambodia",,156,0,4,1,https://www.jstor.org/stable/pdf/1005620.pdf,,
Ancient Khmer,,0,"Chou, Ta-Kuan. (Zhou Daguan) 1902. Mémoires sur les coutumes du Cambodge. Bulletin de l'Ecole Française d'Extreme-Orient 2. 123-177.",1296-1297 (field dates); 1113-1297 (total coverage),"Angkor temple city in modern Siem Reap province, Cambodia",,54,S1,1,1,https://ehrafworldcultures.yale.edu/document?id=am04-179,,
Ancient Khmer,,0,"Coedés, George. 1968. The Indianized States of Southeast Asia. W. F. Vella, ed. Honolulu.",,All of Cambodia,,436,0,4,0,https://archive.org/details/indianizedstates0000cdes,1200s discussed in chapters 11-12 (pages 169-217),
Ancient Khmer,,0,"Delvert, Jean. 1961. Le Paysan Cambodgien. Paris.",,All of Cambodia,,739,0,3,0,https://books.google.ca/books?hl=en&lr=&id=d_EIEAAAQBAJ&oi=fnd&pg=PA12&dq=Le+Paysan+Cambodgien&ots=pbXik_0nSk&sig=MZIG3wWcL9CJaIZcRzk1yozwK8k,,
Ancient Khmer,,0,"Ebihara, May. 1964. Khmer. In Ethnic Groups of Mainland Southeast Asia. F. LeBar, G. Hickey, and J. Musgrave, eds. pp. 98-105. New Haven.",1959-1960 (field dates); 802-1960 (total coverage),"Village southwest of Phnom Penh, southern Cambodia",,7,processed_nocode,3,0,https://ehrafworldcultures.yale.edu/cultures/am04/documents/176,,
Ancient Khmer,,0,"Groslier, Bernard-Philippe. 1956. Angkor, hommes et pierres. Grenoble: Arthaud.",,"Angkor in modern Siem Reap province, and general Cambodia",,225,0,2,0,https://drive.google.com/file/d/1IMb9C0COFsTPYeS_pX83cFjGQV3jKbjU/view?usp=drive_link,,
Ancient Khmer,,1,"Groslier, Bernard-Philippe. 1958. Angkor et le Cambodge au XVIe siècle d'apres les sources portugaises at espagnoles.",1500s (total coverage),"Angkor in modern Siem Reap province, and general Cambodia",,220,0,2,1,https://archive.org/details/in.ernet.dli.2015.531059,Time period that is the primary focus of this document (1500s) does not correspond to the focal year (1200s). Off by several centuries.,
Ancient Khmer,,0,"Groslier, Bernard-Philippe. 1960. Our Knowledge of Khmer Civilization, A Reappraisal. Journal of the Siam Society 48: 1-28.",,"Angkor in modern Siem Reap province, and general Cambodia",,28,0,2,0,https://thesiamsociety.org/wp-content/uploads/1960/03/JSS_048_1b_Groslier_KnowledgeOfKhmerCivilizationAReappraisal.pdf,,
Ancient Khmer,,0,"Porée-Maspero, Eveline. (Ed.) 1958. Ceremonies privées des Cambodgiens. lnstitut Bouddhique. Phnom-Penh.",,All of Cambodia,,88,0,3,0,https://drive.google.com/file/d/12mC1aRO0GPcEky9aOJSirVv72HjwYjIo/view?usp=drive_link,,
Ancient Khmer,,0,"Porée, G., and E. Maspero. 1938. Moeurs et coutumes des Khmers. Paris.",1100-1938 (total coverage),All of Cambodia,,125,processed_nocode,3,0,https://ehrafworldcultures.yale.edu/document?id=am04-083,,
Ancient Khmer,,0,"Steinberg, David J. (Ed.) 1957. Cambodia: Its People, Its Society, Its Culture. New Haven.",1st century CE - 1950s (total coverage) [primary focus is 19th/20th centuries],All of Cambodia,,376,0,1a,0,https://archive.org/details/cambodiaitspeopl0000stei,Time period that is the primary focus of this document (19th/20th centuries) does not correspond to the focal year (1200s). Off by several centuries.,
Ancient Romans,110,,,,"City and environs of Rome, Italy","The City of Rome under the Emperor Trajan, 12°30'e and 41°50'N, in 110 A.D. […] Selection of Focus: Good accounts enable the selection of Rome during the Early Empire as the focus, with the accounts drawing upon the primary works of Tacitus, Dio Cassius, Dio Chrysostom and Pliny the Younger. Either the rule of Trajan or Hadrian are the best described temporal focus, with preference to Trajan because of the Letters and Panegyric connected with him, written by Pliny the Younger. […] Time: 110 A.D. is the twelfth year of Trajan's rule, at the time when Pliny the Younger, previously a treasurer and administrator in Rome, was sent to Bithnia with Trajan. Trajan had expanded the Empire by conquest at this point and was regarded as one of the best public servants (Optimus) that the Empire had experienced. (White 2009, p. 62)",10545,,,,,,
Ancient Romans,,0,"Abbott, Frank F. 1917. Common People of Ancient Rome.",27 BCE-476 CE (total coverage),"Rome, Italy",,327,0,4,1,https://www.gutenberg.org/ebooks/13226,,
Ancient Romans,,1,"Angus, Samuel. 1975 [1925]. The Mystery Religions. New York.",334BCE-327CE (total coverage),Full Græco-Roman world,,398,0,4,0,https://archive.org/details/TheMysteryReligions_S.Angus,,
